dir,entry_idx,exit_idx,entry,exit,pnl,balance
SHORT,17,25,67560.0,67654.584,-190.07000000000377,9759.929999999997
SHORT,62,68,67626.46,67721.13704400002,-185.5069895100157,9525.62336048998
LONG,84,90,67693.32,67598.54935200002,-180.920164485773,9297.075079201757
LONG,105,114,67731.69,67636.865634,-176.57934697927996,9074.010356826468
LONG,248,298,67754.27,67889.77854,136.01941524882238,9164.659720291158
SHORT,314,348,67766.38,67861.252932,-174.19268730357186,8944.64373438613
LONG,394,399,67777.64,67682.751304,-169.8856184471886,8730.034897267013
LONG,428,429,67679.99,67815.34998,130.86322311002453,8817.247945890702
LONG,489,495,68032.01,67936.765186,-167.4659902362899,8605.69571592496
LONG,526,529,67743.99,67649.14841400001,-163.4479787325564,8399.219258612779
LONG,536,541,67730.49,67865.95098000001,125.90429668660983,8483.127459006324
SHORT,574,576,67830.0,67694.34,127.33174315968928,8568.043564870983
LONG,592,594,68154.01,68290.31801999999,128.43497303741196,8653.638320084041
SHORT,628,629,68340.0,68435.676,-164.47970354984594,8445.890424933774
SHORT,701,706,69100.31,68962.10938,126.77281527825994,8530.433788087365
LONG,713,715,69185.04,69088.18094399999,-162.01852893714474,8325.763090209784
LONG,790,798,69259.4,69397.9188,124.80318872225104,8408.937463480986
SHORT,806,808,69124.16,69220.933824,-159.8286743683874,8207.064101795195
LONG,874,876,69075.68,68978.97404799999,-155.87676848540076,8010.152012800818
SHORT,908,924,69189.55,69051.1709,120.23238171214672,8090.333634448961
LONG,959,960,69074.29,68977.585994,-153.65970671908906,7896.222259557628
SHORT,974,975,68760.01,68622.48998,118.52229611595575,7975.263444375796
LONG,990,992,68806.8,68944.4136,119.54919903118964,8054.936326185107
SHORT,1077,1078,70416.19,70514.772666,-153.10017475180268,7861.561469802378
SHORT,1146,1147,70414.9,70513.48086,-149.42469885653588,7672.828963596831
SHORT,1187,1199,70850.0,70949.19,-145.83746011108747,7488.62735866776
SHORT,1257,1258,71039.91,70897.83018,112.40429665360202,7563.588518528023
